A,B,C,D,E,F,G,H,I
0,"908,0","883,51","180,93","180,35","180,93","6,93","6,93","307,1"
"908,0",0,"1012,89","180,93","180,35","180,93","104,16","104,16","404,33"
"883,51","1012,89",0,"159,22","158,63","159,22","255,4","255,4","555,57"
"455,81","199,1","177,39",0,"1090,74","957,12","305,9","304,13","156,31"
"449,92","193,21","171,5","1090,74",0,"956,54","331,0","329,22","181,41"
"450,5","193,79","172,08","957,12","956,54",0,"305,9","304,13","156,31"
"22,06","119,29","270,53","305,9","331,0","305,9",0,"755,56","594,04"
"20,28","117,51","268,76","304,13","329,22","304,13","755,56",0,"592,27"
"307,1","404,33","555,57","165,21","190,3","165,21","602,93","818,52",0
